mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
"Die, Mommie, Die!","https://en.wikipedia.org/wiki/Die,_Mommie,_Die!",Mark Rucker,Dante Di Loreto;Anthony Edwards;Bill Kenwright,NA,Charles Busch;Jason Priestley;Frances Conroy;Philip Baker Hall;Stark Sands;Natasha Lyonne,Dennis McCarthy,Kelly Evans,Philip Harrison,Sundance Film Series,"January 20, 2003 (2003-01-20) (Sundance);October 31, 2003 (2003-10-31)",94 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Die_Mommie_Die_-poster-.jpg/220px-Die_Mommie_Die_-poster-.jpg,"Die, Mommie, Die! is a 2003 American satirical comedy film written by Charles Busch, who also plays the lead role. Partly spoof and partly homage, it draws heavily on the tropes and themes of American ""Psycho-biddy"" films and plays from the 1950s and 1960s that featured strong, sometimes dominating female leads, such as those by Bette Davis (Dead Ringer) and Ethel Merman (Gypsy). It is adapted from a play of the same name by Busch, first performed in 1999."
Different for Girls,https://en.wikipedia.org/wiki/Different_for_Girls,Richard Spence,John Chapman;Laura Gregory,Tony Marchant,Rupert Graves;Steven Mackintosh;Miriam Margoyles;Saskia Reeves;Charlotte Coleman;Neil Dudgeon;Nisha K. Nayar;Lia Williams;Ian Dury,Stephen Warbeck,Sean Van Hales,David Gamble,First Look International,12 September 1997 (1997-09-12),96 minutes,United Kingdom;France,English,https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Different_for_Girls%2C_film_poster.jpg/220px-Different_for_Girls%2C_film_poster.jpg,"Different for Girls is a 1996 British/French drama film in which one of the protagonists is a transgender woman. The film is directed by Richard Spence and written by Tony Marchant, starring Rupert Graves and Steven Mackintosh."
Different from the Others,https://en.wikipedia.org/wiki/Different_from_the_Others,Richard Oswald,Richard Oswald,Richard Oswald;Magnus Hirschfeld,Conrad Veidt;Fritz Schulz;Reinhold Schünzel;Anita Berber;Magnus Hirschfeld;Karl Giese,NA,Max Fassbender,NA,Richard Oswald-Film Berlin,30 June 1919 (1919-06-30),50 minutes;(fragment),Weimar Republic,Silent film;German intertitles,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Anders_als_die_andern_1919_poster.jpg/220px-Anders_als_die_andern_1919_poster.jpg,"Different from the Others (German: Anders als die Andern, literally 'Other than the Others') is a German film produced during the Weimar Republic. It was first released in 1919 and stars Conrad Veidt and Reinhold Schünzel.[1] The story was co-written by Richard Oswald and Magnus Hirschfeld,[2] who also had a small part in the film and partially funded the production through his Institute for Sexual Science. The film was intended as a polemic against the then-current laws under Germany's Paragraph 175, which made homosexuality a criminal offense.[3] It is believed to be the first pro-gay film in the world.[4]"
Different from Whom?,https://en.wikipedia.org/wiki/Different_from_Whom%3F,Umberto Carteni,NA,Fabio Bonifacci,Luca Argentero,Massimo Nunzi,Marcello Montarsi,NA,NA,2009 (2009),NA,NA,Italian,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Different_from_Whom-703251203-large.jpg/220px-Different_from_Whom-703251203-large.jpg,"Different from Whom? (Italian: Diverso da chi?) is a 2009 Italian comedy film directed by Umberto Carteni. It was nominated for four David di Donatello, for best new director, best actor, best actress and best supporting actor (Filippo Nigro)[1] and for three Nastri d'argento, for best comedy film, best script and best producer.[2]"
Different from You and Me,https://en.wikipedia.org/wiki/Different_from_You_and_Me,Veit Harlan,Gero Wecker,Felix Lützkendorf;Hans Giese (scientific advisor),Christian Wolff;Paula Wessely;Paul Dahlke;Hans Nielsen,Erwin Halletz;Oskar Sala (electronic music),Kurt Grigoleit,Walter Wischniewsky,NA,1957 (German film);1958 (USA);2006 (DVD),92 minutes,West Germany,"German (1958 version dubbed in English, DVD with English subtitles)",https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Anders_als_du_und_ich_cover.jpg/220px-Anders_als_du_und_ich_cover.jpg,"Different from You and Me (§175) (German: Anders als du und ich (§175)) is a 1957 feature film on the subject of homosexuality directed by Veit Harlan. The film was subject to censorship in Germany, and several scenes had to be altered before it could be released."
A Different Story,https://en.wikipedia.org/wiki/A_Different_Story,Paul Aaron,Alan Belkin,Henry Olek,Meg Foster;Perry King;Valerie Curtin;Peter Donat,David Michael Frank (as David Frank),Philip H. Lathrop,Lynn McCallon,AVCO Embassy Pictures;American Cinema Releasing,"May 10, 1978 (1978-05-10)",108 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/A_Different_Story_film_poster.jpg/220px-A_Different_Story_film_poster.jpg,A Different Story is a 1978 American film set in Los Angeles. It stars Meg Foster and Perry King and was directed by Paul Aaron. It tells the story of a gay man (King) and a lesbian (Foster) who become temporary housemates but end up falling in love with each other.
Different Strokes,https://en.wikipedia.org/wiki/Different_Strokes_(film),Michael Paul Girard,Robert Giordano,Michael Paul Girard,Dana Plato;Landon Hall;Bentley Mitchum;Samantha James,NA,Gerald M. Williams,H. Kim,Coastline Films,"June 25, 1998",88 minutes;75 minutes (Edited version),United States,English,NA,"Different Strokes (also titled Different Strokes: The Story of Jack and Jill...and Jill) is a 1998 erotic drama film about a love triangle involving a young couple and another woman. Written and directed by Michael Paul Girard, the film stars Dana Plato, Landon Hall, and Bentley Mitchum.[1] The film's title exploits Plato's fame from the TV series, Diff'rent Strokes. It was Plato's first film appearance since 1992, and would be her second to last film before her death in 1999."
Dim Sum Funeral,https://en.wikipedia.org/wiki/Dim_Sum_Funeral,Anna Chi,Clark Peterson,Donald Martin,Bai Ling;Steph Song;Talia Shire;Julia Nickson;Lisa Lu;with Kelly Hu;and Russell Wong,Scott Starrett,NA,NA,NA,November 2008 (2008-11);AFI Fest,95 minutes,NA,"English, Mandarin",https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Dim_Sum_Funeral_FilmPoster.jpeg/220px-Dim_Sum_Funeral_FilmPoster.jpeg,"Dim Sum Funeral is a 2008 comedy/drama film. It was directed by Anna Chi[1] and stars Kelly Hu, Bai Ling, Russell Wong, Steph Song and Talia Shire."
The Deputy,https://en.wikipedia.org/wiki/El_diputado,Eloy de la Iglesia,NA,Gonzalo Goicoechea;Eloy de la Iglesia,José Sacristán;José Luis Alonso;María Luisa San José;Agustín González,NA,Antonio Cuevas,Julio Peña,David Whitten [1],"October 20, 1978 Spain;November 1, 1985 United States",107 minutes, Spain,Spanish,https://upload.wikimedia.org/wikipedia/en/4/48/El_Diputado.jpg,El diputado is a 1978 Spanish drama film co-written and directed by Eloy de la Iglesia.
Dirty Girl,https://en.wikipedia.org/wiki/Dirty_Girl_(2010_film),Abe Sylvia,Rachel Cohen;Rob Paris;Charles Pugliese;Jana Edelbaum;Killer Films,Abe Sylvia,Juno Temple;Jeremy Dozier;Milla Jovovich;William H. Macy;Mary Steenburgen;Dwight Yoakam;Maeve Quinlan;Tim McGraw,Jeff Toyne,Steve Gainer,Jonathan Lucas,The Weinstein Company,"September 12, 2010 (2010-09-12) (TIFF);October 7, 2011 (2011-10-07);(theatrical release)",89 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Dirty_girl_film_poster.jpg/220px-Dirty_girl_film_poster.jpg,"Dirty Girl is a 2010 American coming of age comedy-drama film written and directed by Abe Sylvia. It stars Juno Temple, Milla Jovovich and William H. Macy. It premiered at the 2010 Toronto International Film Festival on September 12, 2010.[4] It was distributed theatrically by The Weinstein Company[5] on October 7, 2011.[6]"
Dirty Laundry,https://en.wikipedia.org/wiki/Dirty_Laundry_(2006_film),Maurice Jamal,NA,Maurice Jamal,Rockmond Dunbar;Jenifer Lewis;Loretta Devine;Terri J. Vaughn;Maurice Jamal;Sommore,NA,NA,NA,Codeblack Entertainment;Freestyle Releasing[1],"July 15, 2006 (2006-07-15) (Los Angeles Outfest Gay and Lesbian Film Festival);December 7, 2007 (2007-12-07) (United States)",100 minutes[2],United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Dirty_Laundry_Poster.jpg/220px-Dirty_Laundry_Poster.jpg,"Dirty Laundry is a 2006 drama film written, directed, and starring Maurice Jamal. It was produced by 20th Century Fox Home Entertainment and distributed by Codeblack Entertainment. It is available on DVD and is rated PG-13.[2]"
Diverso da chi?,https://en.wikipedia.org/wiki/Different_from_Whom%3F,Umberto Carteni,NA,Fabio Bonifacci,Luca Argentero,Massimo Nunzi,Marcello Montarsi,NA,NA,2009 (2009),NA,NA,Italian,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Different_from_Whom-703251203-large.jpg/220px-Different_from_Whom-703251203-large.jpg,"Different from Whom? (Italian: Diverso da chi?) is a 2009 Italian comedy film directed by Umberto Carteni. It was nominated for four David di Donatello, for best new director, best actor, best actress and best supporting actor (Filippo Nigro)[1] and for three Nastri d'argento, for best comedy film, best script and best producer.[2]"
Do Começo ao Fim,https://en.wikipedia.org/wiki/From_Beginning_to_End,Aluizio Abranches,Aluizio Abranches;Fernando Libonati;Marco Nanini;Iker Monfort,Aluizio Abranches,Rafael Cardoso;João Gabriel Vasconcellos;Júlia Lemmertz;Fábio Assunção,André Abujambra,Ueli Steiger,Fábio S. Limma,TLA Releasing,"November 12, 2009 (2009-11-12) (Mix Brasil);November 27, 2009 (2009-11-27) (Brazil)",96 minutes,Brazil,Portuguese;Spanish;English,https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Do_Come%C3%A7o_ao_Fim_Poster.jpg/220px-Do_Come%C3%A7o_ao_Fim_Poster.jpg,"From Beginning To End is a Brazilian movie made in 2009. It is the third feature film directed by Aluizio Abranches. Starring Fábio Assunção, Júlia Lemmertz, Gabriel Kaufmann, Lucas Cotrim, João Gabriel Vasconcellos and Rafael Cardoso. The movie premiered in Brazil in November 27th, 2009. The movie deals with two types of relationship that are often considered taboos (homosexuality and incest). Abranches claims that his only intention was to tell a love story."
Do Lado de Fora,https://en.wikipedia.org/wiki/Do_Lado_de_Fora,Alexandre Carvalho,Alexandre Carvalho,André Collazi,André Bankoff;Marcello Airoldi;Luis Fernando Vaz;Mauricio Evanns,NA,NA,NA,Elo Company,15 May 2014 (2014-05-15) (Brazil),NA,Brazil,Portuguese,https://upload.wikimedia.org/wikipedia/en/thumb/7/7c/Do_Lado_de_Fora_Film_Poster.jpg/220px-Do_Lado_de_Fora_Film_Poster.jpg,"Do Lado de Fora is a 2014 Brazilian comedy film directed by Alexandre Carvalho, starring André Bankoff, Marcello Airoldi, Luis Fernando Vaz and Mauricio Evanns."
