mTitle,mLink,directed_by,produced_by,written_by,starring,music_by,cinematography,edited_by,distributed_by,release_year,running_time,country,language,image_link,desc
Gosford Park,https://en.wikipedia.org/wiki/Gosford_Park,Robert Altman,Robert Altman;Bob Balaban;David Levy,Julian Fellowes,Eileen Atkins;Bob Balaban;Alan Bates;Charles Dance;Stephen Fry;Michael Gambon;Richard E. Grant;Derek Jacobi;Kelly Macdonald;Helen Mirren;Jeremy Northam;Clive Owen;Ryan Phillippe;Maggie Smith;Kristin Scott Thomas;Emily Watson,Patrick Doyle,Andrew Dunn,Tim Squyres,Entertainment Film Distributors;USA Films,7 November 2001 (2001-11-07) (London);1 February 2002 (2002-02-01) (United Kingdom),137 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/e/e3/Gosford_Park_movie.jpg,"Gosford Park is a 2001 British mystery film directed by Robert Altman and written by Julian Fellowes. The film stars an ensemble cast, which includes Eileen Atkins, Bob Balaban, Alan Bates, Charles Dance, Stephen Fry, Michael Gambon, Richard E. Grant, Derek Jacobi, Kelly Macdonald, Helen Mirren, Jeremy Northam, Clive Owen, Ryan Phillippe, Maggie Smith, Kristin Scott Thomas, and Emily Watson. The story follows a party of wealthy Britons and an American, and their servants, who gather for a shooting weekend at Gosford Park, an English country house. A murder occurs after a dinner party, and the film goes on to present the subsequent investigation from the servants' and guests' perspectives."
Gossip,https://en.wikipedia.org/wiki/Gossip_(2000_Swedish_film),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gossip is a 2000 Swedish comedy/drama film. It was directed and written by Colin Nutley.
Gouttes d'eau sur pierres brûlantes,https://en.wikipedia.org/wiki/Water_Drops_on_Burning_Rocks,François Ozon,Olivier Delbosc;Christine Gozlan;Kenzô Horikoshi;Marc Missonnier;Alain Sarde,Rainer Werner Fassbinder;François Ozon,Bernard Giraudeau;Malik Zidi;Ludivine Sagnier;Anna Levine,NA,Jeanne Lapoirie,Laurence Bawedin;Claudine Bouché,Haut et Court,13 February 2000 (2000-02-13) (Berlin);15 March 2000 (2000-03-15) (France),90 minutes,France,French;German,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/GouttesAff.jpg/220px-GouttesAff.jpg,"Water Drops on Burning Rocks (French: Gouttes d'eau sur pierres brûlantes) is a 2000 French drama film directed by François Ozon.[1] The film is based on a German play by Rainer Werner Fassbinder, Tropfen auf heisse Steine.[2]"
Grande École,https://en.wikipedia.org/wiki/Grande_%C3%89cole_(film),Robert Salis,Humbert Balsan,"Robert Salis,;Jean-Marie Besset;based on Jean-Marie besset's play The Best of Schools",Gregori Baquet;Alice Taglioni;Jocelyn Quivrin;Salim Kechiouche;Elodie Navarre;Éva Darlan;Yasmine Belmadi,NA,NA,NA,Pyramide (France),4 February 2004,110 minutes,France,French,NA,"Robert Salis,Jean-Marie Besset"
Gray Matters,https://en.wikipedia.org/wiki/Gray_Matters_(2006_film),Sue Kramer,Jill Footlick;John J. Hermansen;Sue Kramer,Sue Kramer,Heather Graham;Tom Cavanagh;Bridget Moynahan;Molly Shannon;Alan Cumming;Sissy Spacek;Rachel Shelley,Andrew Hollander,John S. Bartley,Wendey Stanzler,Yari Film Group;Freestyle Releasing[1],"October 21, 2006 (2006-10-21) (Hamptons International Film Festival);February 23, 2007 (2007-02-23) (United States)",96 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/d/d3/Gray_matters_movie_poster.jpg,"Gray Matters is a 2006 American romantic comedy film directed by Sue Kramer, starring Heather Graham, Tom Cavanagh, and Bridget Moynahan. It premiered on October 21, 2006 at the Hamptons International Film Festival and had a United States limited theatrical release on February 23, 2007."
Great Moments in Aviation,https://en.wikipedia.org/wiki/Great_Moments_in_Aviation,Beeban Kidron,Phillippa Giles,Jeanette Winterson,Rakie Ayola;Jonathan Pryce;John Hurt;Vanessa Redgrave;Dorothy Tutin,Rachel Portman,Remi Adefarasin,John Stothart,BBC Worldwide;Miramax Films,1993 (1993),93 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/4/42/Shades_of_Fear.jpg/220px-Shades_of_Fear.jpg,"Great Moments in Aviation is a 1994 British romantic drama film set on a 1950s passenger liner. The film follows Gabriel Angel (Rakie Ayola), a young Caribbean aviator who falls in love with the forger Duncan Stewart (Jonathan Pryce) on her journey to England. Stewart is pursued by his nemesis Rex Goodyear (John Hurt), and the group are supported by Dr Angela Bead (Vanessa Redgrave) and Miss Gwendolyn Quim (Dorothy Tutin), retired missionaries who become lovers during the voyage."
The Green,https://en.wikipedia.org/wiki/The_Green_(film),Steven Williford,Steven Williford;Paul Marcarelli;Molly Pearson,NA,Jason Butler Harner;Cheyenne Jackson;Illeana Douglas;Julia Ormond,William Brittelle,Ryan Samul,Phillip J. Bartell,Cinetic Media;Wolfe Video,"April 30, 2011 (2011-04-30) (USA Film Festival)",90 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/The_Green_2011_film_poster.jpg/220px-The_Green_2011_film_poster.jpg,"The Green is a 2011 drama film directed by Steven Williford, written by Williford, Paul Marcarelli and Molly Pearson, and starring Jason Butler Harner, Cheyenne Jackson, Illeana Douglas and Julia Ormond."
The Grotesque,https://en.wikipedia.org/wiki/The_Grotesque_(film),John-Paul Davidson,Stephen Evans;John Kay;Trudie Styler,Patrick McGrath;(novel and screenplay),Alan Bates;Lena Headey;Theresa Russell;Sting,Anne Dudley,Andrew Dunn,Tariq Anwar,Live Entertainment (U.S.),14 June 1996 (1996-06-14) (UK);7 March 1997 (1997-03-07) (U.S.);28 November 2001 (2001-11-28) (France TV),99 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/TheGrotesque-DVD.jpg/220px-TheGrotesque-DVD.jpg,"The Grotesque (also known as Grave Indiscretion and Gentlemen Don't Eat Poets) is a 1995 British film by John-Paul Davidson, adapted from the 1989 novel of the same name by Patrick McGrath. It stars Alan Bates, Lena Headey, Theresa Russell and Sting."
The Guest House,https://en.wikipedia.org/wiki/The_Guest_House,Michael Baumgarten,Michael Baumgarten,Michael Baumgarten,Ruth Reynolds;Madeline Merritt,Michael Reola,Ankush Kohli,Jennifer Barlow,Wolfe Releasing,"June 18, 2012 (2012-06-18) (UK);September 4, 2012 (2012-09-04) (US)",82 min,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/The_Guest_House_%282012_film%29_poster.jpg/220px-The_Guest_House_%282012_film%29_poster.jpg,"The Guest House is a 2012 lesbian romance film written, produced and directed by Michael Baumgarten. It stars Ruth Reynolds and Madeline Merritt as two women who fall in love over a weekend at a Los Angeles guest house. The film has received mixed reviews from critics."
Gulabi Aaina,https://en.wikipedia.org/wiki/The_Pink_Mirror,Sridhar Rangayan,Saagar Gupta,Sridhar Rangayan,Edwin Fernandes;Ramesh Menon;Deepak Sonavane;Rufy Baqal;Rishi Raj,NA,NA,NA,Solaris Pictures,14 January 2006 (2006-01-14),40 minutes,India,Hindi,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/The_Pink_Mirror.jpg/220px-The_Pink_Mirror.jpg,"The Pink Mirror, the Indian release title Gulabi Aaina is an award-winning Indian film drama produced and directed by Sridhar Rangayan. Said to be the first Indian film to comprehensively focus on Indian transsexuals with the entire story revolving around two transsexuals and a gay teenager's attempts to seduce a man – Samir (Rufy Baqal). The film explores the taboo subject of transsexuals in India which is still much misundersood and ridiculed."
Gun Hill Road,https://en.wikipedia.org/wiki/Gun_Hill_Road_(film),Rashaad Ernesto Green,Ron Simons;Michelle-Anne M. Small,Rashaad Ernesto Green,"Esai Morales;Judy Reyes;Isiah Whitlock, Jr.",Enrique Feldman;Stefan Swanson,Daniel Patterson,Sara Corrigan,Motion Film Group,NA,NA,United States,English,NA,"Gun Hill Road is a 2011 drama film starring Esai Morales. The title of the film derives from the Bronx road of the same name. The film is notable for starring a transgender character (Michael) who is played by a real transgender person, Harmony Santana, who was the first openly transgender actress to be nominated for an Independent Spirit Award.[1]"
Guyana Tragedy,https://en.wikipedia.org/wiki/Guyana_Tragedy,William A. Graham,NA,NA,Powers Boothe;Ned Beatty;LeVar Burton;Colleen Dewhurst;Randy Quaid;Veronica Cartwright;James Earl Jones,NA,Tony de Zarraga;Aaron Stell,NA,NA,NA,Konigsberg Company,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Guyana_Tragedy_movie_poster1.jpg/250px-Guyana_Tragedy_movie_poster1.jpg,"Guyana Tragedy: The Story of Jim Jones, also called The Mad Messiah,[1] is a 1980 television miniseries about the Peoples Temple led by Jim Jones, and their 1978 mass suicide at Jonestown. Based on the book by Charles A. Krause, entitled Guyana Massacre: The Eyewitness Account, the film was originally shown on television on April 15, 1980."
Guys and Balls,https://en.wikipedia.org/wiki/Guys_and_Balls,Sherry Hormann,Kirsten Hager,Benedikt Gollhardt,Eileen Eilender;Leon Breitenborn,NA,NA,NA,Regent Releasing,7 October 2004 (Germany),106 min.,NA,German,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/M%C3%A4nner_wie_wir_film.jpg/220px-M%C3%A4nner_wie_wir_film.jpg,"Guys and Balls (German: Männer wie wir, literally Men like us, UK title : Balls) is a 2004 sports comedy/romance film by German American director Sherry Hormann about a gay goalkeeper who assembles a gay-only soccer team to play against his ex-team, which fired him due to homophobia."
The Gymnast,https://en.wikipedia.org/wiki/The_Gymnast_(film),Ned Farr,Ned Farr,Michael Carp,Dreya Weber;Addie Yungmee;David De Simone,Craig Richey,Marco Fargnoli,Ned Farr,Wolfe Releasing,"January 15, 2006 (2006-01-15)",98 minutes,United States,English,NA,"The Gymnast is a 2006 film directed by Ned Farr and starring Dreya Weber, Addie Yungmee, and David De Simone."
Gypo,https://en.wikipedia.org/wiki/Gypo_(film),"Jan Dunn (not credited, per Dogme rules",NA,Jan Dunn,"Pauline McLynn,;Chloe Sirene;Paul McGann",NA,NA,NA,NA,2005,98 minutes,United Kingdom,English,NA,"Gypo /ˈdʒɪpoʊ/ is a 2005 independent film written and directed by Jan Dunn. Its story details the breakdown of a family in a small town in Britain, told in three narratives."
Gypsy 83,https://en.wikipedia.org/wiki/Gypsy_83,Todd Stephens,Todd Stephens;Todd Calvin;Karen Jaroneski;Christine McAndrews,NA,Sara Rue;Kett Turton,Marty Beller,Gina Degirolamo;Mai Iskander,Annette Davey,Palisades Pictures;Small Planet Pictures,"June 6, 2001 (2001-06-06) (New York)",94 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/Gypsy_83.JPG/220px-Gypsy_83.JPG,"Gypsy 83 is a 2001 drama film, written and directed by Todd Stephens, about two young goths, Gypsy and Clive, who travel to New York for an annual festival celebrating their idol, Stevie Nicks."
Hable con Ella,https://en.wikipedia.org/wiki/Talk_to_Her,Pedro Almodóvar,Agustín Almodóvar;Michel Ruben,Pedro Almodóvar,Javier Cámara;Darío Grandinetti;Leonor Watling;Geraldine Chaplin;Rosario Flores,Alberto Iglesias,Javier Aguirresarobe,José Salcedo,Warner Sogefilms (Spain);Sony Pictures Classics (USA),15 March 2002 (2002-03-15) (Spain);30 April 2002 (2002-04-30) (Telluride),112 minutes,Spain,Spanish,https://upload.wikimedia.org/wikipedia/en/2/2c/Talk_to_Her_poster.png,"Talk to Her (Spanish: Hable con ella) is a 2002 Spanish comedy-drama written and directed by Pedro Almodóvar, and starring Javier Cámara, Darío Grandinetti, Leonor Watling, Geraldine Chaplin, and Rosario Flores. The film follows two men who form an unlikely friendship as they care for two women who are both in comas. The film's themes include the difficulty of communication between the sexes, loneliness and intimacy, and the persistence of love beyond loss."
Hair,https://en.wikipedia.org/wiki/Hair_(film),Miloš Forman,Michael Butler;Lester Persky,NA,John Savage;Treat Williams;Beverly D'Angelo,Galt MacDermot,Miroslav Ondříček,Alan Heim;Stanley Warnow,United Artists,"March 14, 1979 (1979-03-14)",121 minutes[1],United States,English,https://upload.wikimedia.org/wikipedia/en/2/24/Hairmovieposter.jpg,"Hair is a 1979 musical anti-war drama film based on the 1968 Broadway musical Hair: An American Tribal Love-Rock Musical about a Vietnam War draftee who meets and befriends a tribe of long-haired hippies on his way to the army induction center. The hippies introduce him to their environment of marijuana, LSD, unorthodox relationships and draft evasion."
Hamam,https://en.wikipedia.org/wiki/Hamam_(film),Ferzan Özpetek,NA,Ferzan Özpetek,NA,Pivio and Aldo De Scalzi,Pasquale Mari,Mauro Bonanni,Strand Releasing,1997 (1997),94 minutes,Italy;Turkey;Spain,Italian;Turkish,https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Hamam_film_dvd_cover.jpg/220px-Hamam_film_dvd_cover.jpg,"Hamam (Italian: Il bagno turco, also known as Steam: The Turkish Bath)[1] is a 1997 Italian-Turkish-Spanish film directed by Ferzan Özpetek about the powerful transformations certain places can cause in people.[2]"
The Handmaiden,https://en.wikipedia.org/wiki/The_Handmaiden,Agassi,NA,NA,Park Chan-wook;Chung Seo-kyung,Fingersmith;by Sarah Waters,Kim Min-hee;Kim Tae-ri;Ha Jung-woo;Cho Jin-woong,Jo Yeong-wook,Kim Jae-bum;Kim Sang-bum,Moho Film;Yong Film,CJ Entertainment,14 May 2016 (2016-05-14) (Cannes);1 June 2016 (2016-06-01) (South Korea),145 minutes[1];168 minutes[2](Director's cut),https://upload.wikimedia.org/wikipedia/en/a/a2/The_Handmaiden_film.png,"The Handmaiden (Hangul: 아가씨; RR: Agassi; lit. ""Lady"") is a 2016 South Korean erotic psychological thriller film directed by Park Chan-wook and starring Kim Min-hee, Kim Tae-ri, Ha Jung-woo and Cho Jin-woong.[5] It is inspired from the novel Fingersmith by Welsh writer Sarah Waters, with the setting changed from Victorian era Britain to Korea under Japanese colonial rule.[6][7]"
Handsome Harry,https://en.wikipedia.org/wiki/Handsome_Harry,Bette Gordon,Jamin O'Brien;Marilyn Haft;Eric Goldman;Jamey Sheridan,Nicolas T. Proferes,Jamey Sheridan,Anton Sanko;Jumaane Smith,Nigel Bluck,Keiko Deguchi,Paladin;Emerging Pictures;Screen Media Films,"April 25, 2009 (2009-04-25) (Tribeca Film Festival)",93 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Handsome_Harry.jpg/220px-Handsome_Harry.jpg,"Handsome Harry is an American film written by Nicholas T. Proferes and directed by Bette Gordon. The first project produced by Worldview Entertainment, it stars Jamey Sheridan, Steve Buscemi and Aidan Quinn. It premiered at the 2009 Tribeca Film Festival[1] and was released theatrically in 2010 by Paladin/Emerging Pictures and on DVD/VOD by Screen Media Films."
The Hanging Garden,https://en.wikipedia.org/wiki/The_Hanging_Garden_(film),Thom Fitzgerald,Thom Fitzgerald;Louise Garfield;Arnie Gelbart,Thom Fitzgerald,Chris Leavins;Troy Veinotte;Sarah Polley;Peter MacNeill;Seana McKenna,John Roby,Daniel Jobin,Susan Shanks,Alliance Releasing,1997,91 minutes,NA,English,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/The_Hanging_Garden_movie_poster.jpg/220px-The_Hanging_Garden_movie_poster.jpg,The Hanging Garden is a 1997 British/Canadian movie written and directed by Thom Fitzgerald that is about the duality of life and death and the way seemingly very different choices in life can lead to similar outcomes. The film was shot in Nova Scotia.[1]
Hannah and Her Brothers,https://en.wikipedia.org/wiki/Hannah_and_Her_Brothers,Vladimír Adásek,Viera Sandtnerová;Oľga Hiadlovská,Vladimír Adásek,Vladimír Adásek;Martin Keder;Marta Žuchová;Lucia Hurajová;Patrícia Jarjabková,Ivan Čermák;Hana Hegerová,Juraj Chlpík,Alena Pätoprstá,NA,"January 11, 2001",77 minutes,Slovakia,Slovak,NA,"Hannah and Her Brothers (Slovak: Hana a jej bratia), written and directed by Vladimír Adásek, is the first feature-length film from Slovakia to deal with homosexuality.[1][2] The film premiered in December 2000 at the International Film Festival Bratislava[3] and had its theatrical release in January 2001."
Hannah Free,https://en.wikipedia.org/wiki/Hannah_Free,Wendy Jo Carlton,Claudia Allen;Tracy Baim;Wendy Jo Carlton;Martie Marro;Sharon Zurek;Sharon Gless,Claudia Allen,Sharon Gless;Maureen Gallagher;Kelli Strickland;Ann Hagemann;Taylor Miller;Jax Jackson (as Jacqui Jackson),Martie Marro,Gretchen Warthen,Sharon Zurek,NA,"July 10, 2009 (2009-07-10) (Outfest Film Festival)",NA,United States,NA,https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Hannah_Free.jpg/220px-Hannah_Free.jpg,"Hannah Free is a 2009 American lesbian romance film, adapted from Claudia Allen's play of the same name. It is a story about living, loving, and letting go. Hannah and Rachel grew up as little girls in the same small Midwest town, where traditional gender expectations eventually challenged their deep love for one another. Hannah becomes an adventurous, unapologetic lesbian and Rachel a strong but quiet homemaker. Weaving back and forth between past and present, the film reveals how the women maintained their love affair despite a marriage, a world war, infidelities, and family denial.[1]"
Happy Endings,https://en.wikipedia.org/wiki/Happy_Endings_(film),Don Roos,Michael Paseornek;Holly Wiersma,Don Roos,Tom Arnold;Jesse Bradford;Bobby Cannavale;Steve Coogan;Laura Dern;Maggie Gyllenhaal;Lisa Kudrow;Jason Ritter,NA,Clark Mathis,David Codron,Lions Gate Entertainment,"July 29, 2005 (2005-07-29)",128 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/HappyEndingsPoster.jpg/225px-HappyEndingsPoster.jpg,"Happy Endings is a 2005 American film written and directed by Don Roos and starring Tom Arnold, Jesse Bradford, Bobby Cannavale, Steve Coogan, Laura Dern, Maggie Gyllenhaal, Lisa Kudrow and Jason Ritter."
Happy-Go-Lucky,https://en.wikipedia.org/wiki/Happy-Go-Lucky,Mike Leigh,Simon Channing Williams,Mike Leigh,Sally Hawkins;Eddie Marsan;Alexis Zegerman;Sylvestra Le Touzel;Samuel Roukin,Gary Yershon,Dick Pope,Jim Clark,Momentum Pictures (UK);Miramax (USA),12 February 2008 (2008-02-12) (BIFF);18 April 2008 (2008-04-18) (United Kingdom),118 minutes,United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/a/a7/Happy_go_lucky.jpg/220px-Happy_go_lucky.jpg,"Happy-Go-Lucky is a 2008 British comedy-drama film written and directed by Mike Leigh. The screenplay focuses on a cheerful and optimistic primary-school teacher and her relationships with those around her. The film was well received by critics and resulted in a number of awards for Leigh, lead actress Sally Hawkins and supporting actor Eddie Marsan."
Happy Hearts,https://en.wikipedia.org/wiki/Happy_Hearts,Joel Lamangan,NA,Dado C. Lumibao,Shaina Magdayao;Rayver Cruz;Rustom Padilla;Wendell Ramos;Jean Garcia;Tirso Cruz III,NA,NA,NA,Regal Films,"March 17, 2007 (2007-03-17)",NA,Philippines,English;Tagalog;Filipino,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Happyhearts.jpg/220px-Happyhearts.jpg,Happy Hearts is a 2007 Regal film starring Shaina Magdayao and Rayver Cruz .
"Happy, Texas","https://en.wikipedia.org/wiki/Happy,_Texas_(film)",Mark Illsley,Mark Illsley;Rick Montgomery;Ed Stone,Ed Stone;Mark Illsley;Phil Reeves,Jeremy Northam;Steve Zahn;Ally Walker;Illeana Douglas;William H. Macy,Peter Harris,Bruce Douglas Johnson,Norman Buckley,Miramax Films,"October 1, 1999",98 min., United States,NA,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Happy_texas_poster.jpg/220px-Happy_texas_poster.jpg,"Happy, Texas is a comedy film released in 1999 directed by Mark Illsley, and starring Steve Zahn, Jeremy Northam and William H. Macy."
Happy Together,https://en.wikipedia.org/wiki/Happy_Together_(1997_film),spring light at first glance,NA,Wong Kar-wai,Wong Kar-wai,Wong Kar-wai,Leslie Cheung;Tony Leung;Chang Chen,Danny Chung;Tang Siu-lam,Christopher Doyle,William Chang;Wong Ming-lam,Kino International,30 May 1997 (1997-05-30),96 minutes,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Happy_Together_poster.jpg/220px-Happy_Together_poster.jpg,"Happy Together (春光乍洩) is a 1997 Hong Kong romance film directed by Wong Kar-wai, starring Leslie Cheung and Tony Leung Chiu-wai, that depicts a turbulent romance. The English title is inspired by The Turtles' 1967 song, which is covered by Danny Chung on the film's soundtrack; the Chinese title (previously used for Michelangelo Antonioni's Blowup) is an idiomatic expression suggesting ""the exposure of something intimate"".[2]"
Harmonica's Howl,https://en.wikipedia.org/wiki/Harmonica%27s_Howl,Bruno Safadi,NA,Bruno Safadi,Leandra Leal;Jiddú Pinheiro;Mariana Ximenes,NA,Ivo Lopes Araújo,Guto Parente;Luiz Pretti,Canal Brasil,26 January 2013 (2013-01-26) (IFFR),72 minutes,Brazil,Portuguese,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Harmonica%27s_Howl_Film_Poster.jpg/220px-Harmonica%27s_Howl_Film_Poster.jpg,"Harmonica's Howl (Portuguese: O Uivo da Gaita) is a 2013 Brazilian drama film directed by Bruno Safadi. It stars Leandra Leal, Jiddú Pinheiro and Mariana Ximenes. The film premiered at the 42nd International Film Festival Rotterdam.[1][2]"
Harry + Max,https://en.wikipedia.org/wiki/Harry_%2B_Max,Christopher Münch,Roni Deitz;Christopher Münch,Christopher Münch,Bryce Johnson;Cole Williams,Michael Tubbs,Rob Sweeney,Annette Davey;Christopher Münch,TLA Releasing,"January 17, 2004 (2004-01-17) (Sundance);February 18, 2005 (2005-02-18)",74 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/4/4a/Flyer_harry-and-max.jpg,"Harry + Max (alternate title Harry and Max), is a 2004 American drama film directed by Christopher Münch. It stars Bryce Johnson and Cole Williams."
Hate Crime,https://en.wikipedia.org/wiki/Hate_Crime_(2005_film),Tommy Stovall,P. Dirk Higdon;Tommy Stovall;Ebony Tay,Tommy Stovall,Seth Peterson;Bruce Davison;Chad Donella;Cindy Pickett;Brian J. Smith;Susan Blakely;Lin Shaye,Ebony Tay,Ian Ellis,Darrin Navarro,Image Entertainment,"January 14, 2005 (2005-01-14) (Palm Springs International Film Festival);March 16, 2006 (2006-03-16) (United States)",104 minutes,United States,English,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Hate_Crime_FilmPoster.jpeg/220px-Hate_Crime_FilmPoster.jpeg,"Hate Crime is a 2005 mystery drama film written and directed by Tommy Stovall and starring Seth Peterson, Bruce Davison, Chad Donella, Cindy Pickett, and Brian J. Smith. Making this film was Stovall's first experience on stage and working with actors; he had only self-produced videos previously.[2]"
The Haunting,https://en.wikipedia.org/wiki/The_Haunting_(1963_film),Robert Wise,Robert Wise,NA,Julie Harris;Claire Bloom;Richard Johnson;Russ Tamblyn,Humphrey Searle,Davis Boulton,Ernest Walter,Metro-Goldwyn-Mayer,18 September 1963 (1963-09-18),114 minutes[2],United Kingdom,English,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Thehaunting1963.png/220px-Thehaunting1963.png,"The Haunting is a 1963 British psychological horror film directed and produced by Robert Wise and adapted by Nelson Gidding from the 1959 novel The Haunting of Hill House by Shirley Jackson. It stars Julie Harris, Claire Bloom, Richard Johnson, and Russ Tamblyn. The film depicts the experiences of a small group of people invited by a paranormal investigator to investigate a purportedly haunted house."
Haunting Me,https://en.wikipedia.org/wiki/Haunting_Me,Poj Arnon,NA,NA,NA,NA,NA,NA,Five Star Production,"March 8, 2007 (2007-03-08)",NA,Thailand,Thai,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Haunting-me-thai-film.jpg/220px-Haunting-me-thai-film.jpg,Haunting Me (Thai: หอแต๋วแตก; RTGS: Ho Taeo Taek) is a 2007 Thai horror-comedy film directed by Poj Arnon.
Hawaii,https://en.wikipedia.org/wiki/Hawaii_(2013_film),Marco Berger,Marco Berger;Pedro Irusta,Marco Berger,Manuel Vignau;Mateo Chiarino;Luz Palazón;Antonia De Michelis;Manuel Martínez Sobrado,Pedro Irusta,Tomás Pérez Silva,Marco Berger,NA,"April 13, 2013 (2013-04-13) (Buenos Aires Festival)[1]",102 minutes,Argentina,Spanish,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Hawaii_2013_film_poster.jpg/220px-Hawaii_2013_film_poster.jpg,"Hawaii is a 2013 Spanish language gay romantic drama film by Argentine director Marco Berger. Set in rural Argentina, it tells the story of two young men from different social backgrounds coming to terms with their growing attraction for each other.[2]"
Head in the Clouds,https://en.wikipedia.org/wiki/Head_in_the_Clouds,John Duigan,Michael Cowan;Bertil Ohlsson;Jonathan Olsberg;Jason Piette;Maxime Rémillard;André Rouleau,John Duigan,Charlize Theron;Penélope Cruz;Stuart Townsend,Terry Frewer,Paul Sarossy,Dominique Fortin,Sony Pictures Classics,12 September 2004 (2004-09-12) (Toronto International Film Festival);17 September 2004 (2004-09-17) (United States);(Limited),121 minutes;Toronto International Film Festival;132 minutes;(United States),Canada;United Kingdom,English;French,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/HeadInTheCloudsPoster.jpg/220px-HeadInTheCloudsPoster.jpg,Head in the Clouds is a 2004 Canadian-British war drama film written and directed by John Duigan. The original screenplay focuses on the choices young lovers must make as they find themselves surrounded by increasing political unrest in late-1930s Europe.
Head On,https://en.wikipedia.org/wiki/Head_On_(1998_film),Ana Kokkinos,Jane Scott,NA,Alex Dimitriades;Paul Capsis;Julian Garner;Tony Nikolakopoulos;Elena Mandalis;Eugenia Fragos;Damien Fotiou;Andrea Mandalis;Dora Kaskanis;María Mercedes;Alex Papps;Vassili Zappa,NA,NA,Jill Bilcock,Strand Releasing;Umbrella Entertainment,13 August 1998 (1998-08-13) (Australia),104 minutes,Australia,"English, Greek",https://upload.wikimedia.org/wikipedia/en/5/58/Head_On_1998_film.jpg,"Head On is a 1998 Australian drama film directed by Ana Kokkinos. Based on the novel Loaded written by Christos Tsiolkas, it stars Alex Dimitriades as a young, repressed gay man of Greek descent living in inner city Melbourne. The film gained notoriety upon its release for its sexual explicitness, including a graphic masturbation scene performed by Dimitriades and numerous sex scenes. The film received mixed reviews from critics, with positive reviewers praising its stark realism, the lead performance by Dimitriades and the uncompromising subject matter.[1]"
Heartbeats,https://en.wikipedia.org/wiki/Heartbeats_(film),Xavier Dolan,Xavier Dolan;Carole Mondello;Daniel Morin,Xavier Dolan,Monia Chokri;Niels Schneider;Xavier Dolan,NA,Stéphanie Anne Weber Biron,Xavier Dolan,Remstar Distribution,"May 16, 2010 (2010-05-16)",101 minutes[1],Canada,French;English,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/Heartbeats_%28film%29.jpg/220px-Heartbeats_%28film%29.jpg,Heartbeats (French: Les Amours imaginaires) is a 2010 Canadian drama film directed by Xavier Dolan. It follows the story of two friends who both fall in love with the same man. It premiered in the Un Certain Regard section of the 2010 Cannes Film Festival.[3]
Heavenly Creatures,https://en.wikipedia.org/wiki/Heavenly_Creatures,Peter Jackson,Jim Booth;Peter Jackson,Fran Walsh;Peter Jackson,Melanie Lynskey;Kate Winslet;Sarah Peirse;Diana Kent;Clive Merrison;Simon O'Connor,Peter Dasent,Alun Bollinger,Jamie Selkirk,Miramax Films (US),14 October 1994 (1994-10-14) (New Zealand);16 November 1994 (1994-11-16) (US),99 minutes[1];109 minutes (Director's cut),New Zealand,English,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/Heavenly_Creatures_Poster.jpg/220px-Heavenly_Creatures_Poster.jpg,"Heavenly Creatures is a 1994 New Zealand psychological drama directed by Peter Jackson, from a screenplay he co-wrote with his partner, Fran Walsh, about the notorious 1954 Parker–Hulme murder case in Christchurch, New Zealand. The film features Melanie Lynskey and Kate Winslet in their screen debuts with supporting roles by Sarah Peirse, Diana Kent, Clive Merrison, and Simon O'Connor. The main premise deals with the relationship between two teenage girls, Pauline Parker and Juliet Hulme, who murder Parker's mother. The events of the film cover the period from their meeting in 1952 to the murder in 1954."
