country	correct_ratio_per_question_range	gender_bins	international_rank	question	correct_ratio_per_question	correct_ratio_per_question_female	correct_ratio_per_question_male	content_domain	cognitive_domain	topic_area	question_type	question_rank	diff_male_female	label	gender_bins_order	correct_ratio_per_question_range_order
jor	31-40	(-0.0338,-0.0142]	31	M052422B	0.36596119929453264	0.37964458804523427	0.34951456310679613	Data and Chance	Applying	Chance	Multiple Choice	50	-0.030130024938438138	Red color on the spinners	34	18
jor	31-40	(-0.0338,-0.0142]	31	M062095	0.315884476534296	0.32896890343698854	0.29979879275653926	Algebra	Applying	Equations and Inequalities	Multiple Choice	72	-0.02917011068044928	Equation for Bruno's monthly cell phone cost	28	19
jor	31-40	(-0.0338,-0.0142]	31	M062202	0.3422222222222222	0.3544093178036606	0.3282442748091603	Geometry	Reasoning	Geometric Shapes	Multiple Choice	64	-0.026165042994500287	Liza's net of cube - face opposite face Q	29	20
jor	31-40	(-0.0338,-0.0142]	31	M052103	0.36533333333333334	0.3775167785234899	0.3516068052930057	Algebra	Knowing	Expressions and Operations	Multiple Choice	51	-0.025909973230484218	Value of y when x = 25	33	21
jor	31-40	(-0.0338,-0.0142]	31	M062335	0.3059239610963749	0.3168	0.2924901185770751	Number	Knowing	Ratio, Proportion and Percent	Multiple Choice	77	-0.02430988142292495	Select equivalent ratio to 3:2	27	22
jor	31-40	(-0.0338,-0.0142]	31	M062001	0.36187113857016767	0.3727714748784441	0.3488372093023256	Number	Knowing	Whole Numbers	Multiple Choice	54	-0.023934265576118496	276 x 85 is equal to	32	23
jor	31-40	(-0.0338,-0.0142]	31	M042183	0.35892857142857143	0.3673805601317957	0.3489278752436647	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	55	-0.01845268488813101	Find the number	31	24
jor	31-40	(-0.0338,-0.0142]	31	M052170	0.35733333333333334	0.36577181208053694	0.34782608695652173	Data and Chance	Applying	Characteristics of Data Sets	Multiple Choice	56	-0.01794572512401521	List with specified mean and range	30	25
jor	31-40	(-0.0142,0.00538]	31	M042234	0.37142857142857144	0.3756177924217463	0.3664717348927875	Algebra	Knowing	Equations and Inequalities	Multiple Choice	48	-0.009146057528958806	What is the value of x	31	26
jor	31-40	(-0.0142,0.00538]	31	M052417	0.30666666666666664	0.3087248322147651	0.30434782608695654	Geometry	Applying	Geometric Shapes	Free Response	76	-0.004377006127808558	Value of angle x in figure	29	27
jor	31-40	(-0.0142,0.00538]	31	M052410	0.37422222222222223	0.37583892617449666	0.3724007561436673	Data and Chance	Applying	Data Interpretation	Multiple Choice	46	-0.0034381700308293572	Students that chose History	32	28
jor	31-40	(-0.0142,0.00538]	31	M042203	0.32321428571428573	0.3245469522240527	0.3216374269005848	Geometry	Applying	Geometric Shapes	Multiple Choice	70	-0.002909525323467943	What is the value of x	30	29
jor	31-40	(0.00538,0.0249]	31	M052079	0.3663101604278075	0.36260162601626017	0.3708086785009862	Number	Applying	Ratio, Proportion and Percent	Multiple Choice	49	0.00820705248472603	Length of shorter string piece	22	30
jor	31-40	(0.00538,0.0249]	31	M052161	0.3905693950177936	0.38621794871794873	0.396	Data and Chance	Applying	Chance	Multiple Choice	40	0.009782051282051285	Number of balls in a bag	24	31
jor	31-40	(0.00538,0.0249]	31	M042060	0.3026785714285714	0.2981878088962109	0.3079922027290448	Number	Knowing	Ratio, Proportion and Percent	Multiple Choice	79	0.009804393832833935	Fraction by which price reduced by	17	32
jor	31-40	(0.00538,0.0249]	31	M042052	0.3067375886524823	0.29983525535420097	0.31477927063339733	Number	Knowing	Ratio, Proportion and Percent	Multiple Choice	75	0.014944015279196365	Ratio equivalent to 1:4	18	33
jor	31-40	(0.00538,0.0249]	31	M062132A	0.33783783783783783	0.3305785123966942	0.3465346534653465	Data and Chance	Knowing	Chance	Free Response	65	0.015956141068652285	Mobile phone factory - number faulty in a batch	21	34
jor	31-40	(0.00538,0.0249]	31	M062005	0.3261261261261261	0.31735537190082647	0.33663366336633666	Number	Knowing	Whole Numbers	Multiple Choice	68	0.01927829146551019	832 divided by 16 is equal to	20	35
jor	31-40	(0.00538,0.0249]	31	M052147	0.3083778966131907	0.2991869918699187	0.31952662721893493	Number	Applying	Ratio, Proportion and Percent	Multiple Choice	74	0.020339635349016227	Which statement is true	19	36
jor	31-40	(0.00538,0.0249]	31	M042182	0.38475177304964536	0.37397034596375617	0.39731285988483683	Number	Applying	Fractions, Decimals, and Integers	Multiple Choice	42	0.023342513921080665	How far did john jump	23	37
jor	31-40	(0.0249,0.0445]	31	M052134	0.36452762923351156	0.3523654159869494	0.3791748526522593	Number	Knowing	Fractions, Decimals, and Integers	Multiple Choice	52	0.026809436665309883	How much hotter is city A than B	15	38
jor	31-40	(0.0249,0.0445]	31	M052082	0.3781138790035587	0.3605769230769231	0.4	Geometry	Applying	Geometric Shapes	Multiple Choice	44	0.03942307692307695	Value of angle x outside triangle	16	39
jor	31-40	(0.0249,0.0445]	31	M062150	0.3209549071618037	0.3024	0.3438735177865613	Number	Knowing	Fractions, Decimals, and Integers	Free Response	71	0.041473517786561276	Difference between low temperature in City X and Y	14	40
jor	31-40	(0.103,0.123]	31	M062142	0.3099099099099099	0.2628099173553719	0.36633663366336633	Number	Applying	Ratio, Proportion and Percent	Free Response	73	0.10352671630799443	Shade 40% of the rectangle	1	41
jor	31-40	(0.142,0.162]	31	M042194	0.3805704099821747	0.30844155844155846	0.4683794466403162	Number	Knowing	Ratio, Proportion and Percent	Free Response	43	0.15993788819875776	Present of games the team lose	1	42
jor	41-50	(-0.21,-0.19]	31	M062074	0.4577777777777778	0.5490848585690515	0.3530534351145038	Algebra	Applying	Relationships and Functions	Multiple Choice	23	-0.19603142345454772	Function for Janet's graph given slope/intercept	1	1
