id	topics
spBayes	Bayesian Spatial SpatioTemporal
spTimer	Bayesian Spatial SpatioTemporal TimeSeries
stochvol	Bayesian Finance TimeSeries
tgp	Bayesian ExperimentalDesign MachineLearning Spatial
AnalyzeFMRI	ChemPhys MedicalImaging Psychometrics
bvls	ChemPhys Optimization
clustvarsel	ChemPhys Cluster Multivariate
elasticnet	ChemPhys MachineLearning Psychometrics
fastICA	ChemPhys Multivariate Psychometrics
fmri	ChemPhys MedicalImaging
fpca	ChemPhys FunctionalData
homals	ChemPhys Multivariate Psychometrics
kohonen	ChemPhys Multivariate
leaps	ChemPhys SocialSciences
minpack.lm	ChemPhys Optimization
nlme	ChemPhys Econometrics Environmetrics Finance OfficialStatistics Psychometrics SocialSciences Spatial SpatioTemporal
nnls	ChemPhys Optimization
pcaPP	ChemPhys Multivariate Psychometrics
PET	ChemPhys MedicalImaging
pls	ChemPhys HighPerformanceComputing Multivariate Psychometrics
plspm	ChemPhys Psychometrics
ppls	ChemPhys Multivariate
psy	ChemPhys Multivariate Psychometrics
PTAk	ChemPhys MedicalImaging Multivariate Psychometrics
RobPer	ChemPhys Robust
simecol	ChemPhys DifferentialEquations Environmetrics
solaR	ChemPhys SpatioTemporal
som	ChemPhys Cluster
varSelRF	ChemPhys HighPerformanceComputing MachineLearning
asd	ClinicalTrials ExperimentalDesign
bcrm	ClinicalTrials ExperimentalDesign
clinfun	ClinicalTrials Survival
coin	ClinicalTrials Survival
conf.design	ClinicalTrials ExperimentalDesign
CRTSize	ClinicalTrials MetaAnalysis
dfcrm	ClinicalTrials ExperimentalDesign
DoseFinding	ClinicalTrials ExperimentalDesign
experiment	ClinicalTrials ExperimentalDesign
FrF2	ClinicalTrials ExperimentalDesign
GroupSeq	ClinicalTrials ExperimentalDesign
gsDesign	ClinicalTrials ExperimentalDesign
meta	ClinicalTrials MetaAnalysis
metafor	ClinicalTrials MetaAnalysis Phylogenetics
metaLik	ClinicalTrials MetaAnalysis
metasens	ClinicalTrials MetaAnalysis
multcomp	ClinicalTrials SocialSciences Survival
PwrGSD	ClinicalTrials ExperimentalDesign
qtlDesign	ClinicalTrials ExperimentalDesign
rmeta	ClinicalTrials MetaAnalysis
survival	ClinicalTrials Econometrics SocialSciences Survival
TEQR	ClinicalTrials ExperimentalDesign
amap	Cluster Environmetrics Multivariate
BayesLCA	Cluster Psychometrics
biclust	Cluster Graphics
bmixture	Cluster Distributions
cba	Cluster Graphics
clue	Cluster Multivariate Optimization
cluster	Cluster Environmetrics Multivariate
clusterGeneration	Cluster Multivariate
clusterSim	Cluster Multivariate
clv	Cluster Multivariate
dendextend	Cluster Phylogenetics
depmix	Cluster TimeSeries
depmixS4	Cluster TimeSeries
dpmixsim	Cluster MedicalImaging
e1071	Cluster Distributions Environmetrics MachineLearning Multivariate Psychometrics
flexmix	Cluster Environmetrics Psychometrics
fpc	Cluster Multivariate
funFEM	Cluster FunctionalData
funHDDC	Cluster FunctionalData
